date,product,sales
2023-01-01,Milk,181.94
2023-01-02,Milk,193.5
2023-01-03,Milk,196.64
2023-01-04,Milk,189.74
2023-01-05,Milk,178.69
2023-01-06,Milk,173.66
2023-01-07,Milk,174.59
2023-01-08,Milk,186.57
2023-01-09,Milk,193.94
2023-01-10,Milk,219.48
2023-01-11,Milk,184.11
2023-01-12,Milk,183.31
2023-01-13,Milk,177.61
2023-01-14,Milk,176.32
2023-01-15,Milk,177.99
2023-01-16,Milk,215.79
2023-01-17,Milk,192.03
2023-01-18,Milk,188.15
2023-01-19,Milk,192.57
2023-01-20,Milk,171.0
2023-01-21,Milk,168.89
2023-01-22,Milk,191.67
2023-01-23,Milk,189.59
2023-01-24,Milk,191.38
2023-01-25,Milk,183.07
2023-01-26,Milk,176.75
2023-01-27,Milk,171.49
2023-01-28,Milk,178.25
2023-01-29,Milk,180.95
2023-01-30,Milk,196.2
2023-01-31,Milk,193.86
2023-02-01,Milk,187.49
2023-02-02,Milk,188.08
2023-02-03,Milk,174.42
2023-02-04,Milk,181.82
2023-02-05,Milk,191.29
2023-02-06,Milk,197.09
2023-02-07,Milk,196.85
2023-02-08,Milk,195.89
2023-02-09,Milk,184.1
2023-02-10,Milk,176.82
2023-02-11,Milk,182.35
2023-02-12,Milk,181.57
2023-02-13,Milk,219.76
2023-02-14,Milk,199.19
2023-02-15,Milk,190.15
2023-02-16,Milk,187.06
2023-02-17,Milk,174.83
2023-02-18,Milk,174.45
2023-02-19,Milk,181.6
2023-02-20,Milk,197.78
2023-02-21,Milk,194.35
2023-02-22,Milk,182.08
2023-02-23,Milk,177.39
2023-02-24,Milk,172.86
2023-02-25,Milk,179.45
2023-02-26,Milk,181.76
2023-02-27,Milk,194.56
2023-02-28,Milk,193.07
2023-03-01,Milk,195.57
2023-03-02,Milk,181.5
2023-03-03,Milk,178.36
2023-03-04,Milk,187.19
2023-03-05,Milk,194.88
2023-03-06,Milk,200.8
2023-03-07,Milk,198.78
2023-03-08,Milk,202.22
2023-03-09,Milk,184.63
2023-03-10,Milk,187.47
2023-03-11,Milk,179.99
2023-03-12,Milk,190.43
2023-03-13,Milk,205.97
2023-03-14,Milk,202.62
