date,product,sales
2023-01-01,Milk,102.48
2023-01-01,Bread,79.31
2023-01-01,Chips,53.24
2023-01-01,Soap,47.62
2023-01-01,Rice,148.83
2023-01-01,Oil,128.83
2023-01-01,Chocolate,37.9
2023-01-01,Cold Drink,63.84
2023-01-02,Milk,105.77
2023-01-02,Bread,90.33
2023-01-02,Chips,55.6
2023-01-02,Soap,45.39
2023-01-02,Rice,159.03
2023-01-02,Oil,128.3
2023-01-02,Chocolate,29.59
2023-01-02,Cold Drink,64.71
2023-01-03,Milk,105.29
2023-01-03,Bread,90.92
2023-01-03,Chips,55.41
2023-01-03,Soap,42.49
2023-01-03,Rice,167.08
2023-01-03,Oil,138.72
2023-01-03,Chocolate,40.89
2023-01-03,Cold Drink,62.03
2023-01-04,Milk,102.52
2023-01-04,Bread,84.29
2023-01-04,Chips,48.88
2023-01-04,Soap,45.92
2023-01-04,Rice,151.34
2023-01-04,Oil,133.03
2023-01-04,Chocolate,32.53
2023-01-04,Cold Drink,72.7
2023-01-05,Milk,96.79
2023-01-05,Bread,69.57
2023-01-05,Chips,50.17
2023-01-05,Soap,29.16
2023-01-05,Rice,146.71
2023-01-05,Oil,116.06
2023-01-05,Chocolate,20.62
2023-01-05,Cold Drink,55.45
2023-01-06,Milk,95.44
2023-01-06,Bread,70.11
2023-01-06,Chips,40.17
2023-01-06,Soap,28.25
2023-01-06,Rice,132.86
2023-01-06,Oil,116.9
2023-01-06,Chocolate,19.95
2023-01-06,Cold Drink,54.04
2023-01-07,Milk,95.7
2023-01-07,Bread,62.17
2023-01-07,Chips,44.4
2023-01-07,Soap,29.66
2023-01-07,Rice,138.8
2023-01-07,Oil,125.54
2023-01-07,Chocolate,29.74
2023-01-07,Cold Drink,55.04
2023-01-08,Milk,97.9
2023-01-08,Bread,77.05
2023-01-08,Chips,52.36
2023-01-08,Soap,44.18
2023-01-08,Rice,147.6
2023-01-08,Oil,129.42
2023-01-08,Chocolate,27.27
2023-01-08,Cold Drink,51.92
2023-01-09,Milk,114.28
2023-01-09,Bread,93.0
2023-01-09,Chips,58.26
2023-01-09,Soap,52.04
2023-01-09,Rice,159.63
2023-01-09,Oil,134.99
2023-01-09,Chocolate,42.83
2023-01-09,Cold Drink,73.11
2023-01-10,Milk,112.27
2023-01-10,Bread,95.77
2023-01-10,Chips,47.55
2023-01-10,Soap,52.96
2023-01-10,Rice,160.18
2023-01-10,Oil,138.7
2023-01-10,Chocolate,43.81
2023-01-10,Cold Drink,57.11
2023-01-11,Milk,106.24
2023-01-11,Bread,84.12
2023-01-11,Chips,62.73
2023-01-11,Soap,40.75
2023-01-11,Rice,150.3
2023-01-11,Oil,132.33
2023-01-11,Chocolate,42.92
2023-01-11,Cold Drink,62.98
2023-01-12,Milk,96.31
2023-01-12,Bread,76.03
2023-01-12,Chips,47.25
2023-01-12,Soap,39.4
2023-01-12,Rice,142.15
2023-01-12,Oil,124.57
2023-01-12,Chocolate,28.1
2023-01-12,Cold Drink,45.04
2023-01-13,Milk,95.33
2023-01-13,Bread,69.16
2023-01-13,Chips,41.48
2023-01-13,Soap,27.88
2023-01-13,Rice,133.17
2023-01-13,Oil,118.75
2023-01-13,Chocolate,23.34
2023-01-13,Cold Drink,42.64
2023-01-14,Milk,95.28
2023-01-14,Bread,71.6
2023-01-14,Chips,52.91
2023-01-14,Soap,31.75
2023-01-14,Rice,143.47
2023-01-14,Oil,122.46
2023-01-14,Chocolate,17.79
2023-01-14,Cold Drink,48.15
2023-01-15,Milk,104.5
2023-01-15,Bread,89.52
2023-01-15,Chips,50.44
2023-01-15,Soap,40.11
2023-01-15,Rice,149.83
2023-01-15,Oil,124.86
2023-01-15,Chocolate,41.31
2023-01-15,Cold Drink,59.56
2023-01-16,Milk,116.27
2023-01-16,Bread,80.27
2023-01-16,Chips,66.33
2023-01-16,Soap,39.31
2023-01-16,Rice,160.75
2023-01-16,Oil,149.52
2023-01-16,Chocolate,38.87
2023-01-16,Cold Drink,60.49
2023-01-17,Milk,115.05
2023-01-17,Bread,84.03
2023-01-17,Chips,53.6
2023-01-17,Soap,48.49
2023-01-17,Rice,154.44
2023-01-17,Oil,142.92
2023-01-17,Chocolate,41.55
2023-01-17,Cold Drink,72.7
2023-01-18,Milk,105.52
2023-01-18,Bread,79.33
2023-01-18,Chips,60.11
2023-01-18,Soap,36.48
2023-01-18,Rice,155.48
2023-01-18,Oil,141.72
2023-01-18,Chocolate,33.1
2023-01-18,Cold Drink,60.16
2023-01-19,Milk,102.36
2023-01-19,Bread,75.97
2023-01-19,Chips,41.28
2023-01-19,Soap,27.26
2023-01-19,Rice,148.27
2023-01-19,Oil,128.05
2023-01-19,Chocolate,34.11
2023-01-19,Cold Drink,51.99
2023-01-20,Milk,92.55
2023-01-20,Bread,67.61
2023-01-20,Chips,43.62
2023-01-20,Soap,24.78
2023-01-20,Rice,149.58
2023-01-20,Oil,123.57
2023-01-20,Chocolate,21.89
2023-01-20,Cold Drink,47.83
2023-01-21,Milk,93.31
2023-01-21,Bread,72.12
2023-01-21,Chips,49.97
2023-01-21,Soap,26.08
2023-01-21,Rice,147.0
2023-01-21,Oil,125.25
2023-01-21,Chocolate,34.29
2023-01-21,Cold Drink,55.67
2023-01-22,Milk,105.07
2023-01-22,Bread,72.03
2023-01-22,Chips,47.65
2023-01-22,Soap,33.82
2023-01-22,Rice,149.61
2023-01-22,Oil,132.76
2023-01-22,Chocolate,39.78
2023-01-22,Cold Drink,57.84
2023-01-23,Milk,114.48
2023-01-23,Bread,90.69
2023-01-23,Chips,58.7
2023-01-23,Soap,59.22
2023-01-23,Rice,160.95
2023-01-23,Oil,134.63
2023-01-23,Chocolate,41.26
2023-01-23,Cold Drink,63.63
2023-01-24,Milk,115.53
2023-01-24,Bread,88.72
2023-01-24,Chips,64.42
2023-01-24,Soap,47.09
2023-01-24,Rice,155.52
2023-01-24,Oil,133.33
2023-01-24,Chocolate,46.72
2023-01-24,Cold Drink,67.13
2023-01-25,Milk,112.61
2023-01-25,Bread,73.31
2023-01-25,Chips,57.6
2023-01-25,Soap,43.87
2023-01-25,Rice,149.92
2023-01-25,Oil,136.31
2023-01-25,Chocolate,44.23
2023-01-25,Cold Drink,51.42
2023-01-26,Milk,104.95
2023-01-26,Bread,73.47
