date,sales
2021-01-01,1045.0
2021-01-02,981.8
2021-01-03,983.6
2021-01-04,1034.4
2021-01-05,1024.2
2021-01-06,1053.0
2021-01-07,973.8
2021-01-08,995.6
2021-01-09,1052.4
2021-01-10,1045.2
2021-01-11,1024.0
2021-01-12,1039.8
2021-01-13,979.6
2021-01-14,1015.4
2021-01-15,969.2
2021-01-16,1061.0
2021-01-17,1011.8
2021-01-18,1026.6
2021-01-19,981.4
2021-01-20,970.2
2021-01-21,1028.0
2021-01-22,1036.8
2021-01-23,1048.6
2021-01-24,1031.4
2021-01-25,1003.2
2021-01-26,1058.0
2021-01-27,1052.8
2021-01-28,1005.6
2021-01-29,984.4
2021-01-30,994.2
2021-01-31,1071.0
2021-02-01,1030.8
2021-02-02,1024.6
2021-02-03,1044.4
2021-02-04,979.2
2021-02-05,1032.0
2021-02-06,1045.8
2021-02-07,980.6
2021-02-08,1058.4
2021-02-09,1006.2
2021-02-10,1006.0
2021-02-11,1025.8
2021-02-12,1021.6
2021-02-13,1046.4
2021-02-14,1005.2
2021-02-15,1046.0
2021-02-16,998.8
2021-02-17,987.6
2021-02-18,1025.4
2021-02-19,1069.2
2021-02-20,1057.0
2021-02-21,1075.8
2021-02-22,1050.6
2021-02-23,1026.4
2021-02-24,1079.2
2021-02-25,1002.0
2021-02-26,1017.8
2021-02-27,1018.6
2021-02-28,1006.4
2021-03-01,1040.2
2021-03-02,1034.0
2021-03-03,1038.8
2021-03-04,1086.6
2021-03-05,1098.4
2021-03-06,1085.2
2021-03-07,1026.0
2021-03-08,1010.8
2021-03-09,1061.6
2021-03-10,1091.4
2021-03-11,1045.2
2021-03-12,1021.0
2021-03-13,1099.8
2021-03-14,1045.6
2021-03-15,1105.4
2021-03-16,1076.2
2021-03-17,1062.0
2021-03-18,1027.8
2021-03-19,1092.6
2021-03-20,1048.4
2021-03-21,1074.2
2021-03-22,1041.0
2021-03-23,1098.8
2021-03-24,1071.6
2021-03-25,1103.4
2021-03-26,1085.2
2021-03-27,1087.0
2021-03-28,1070.8
2021-03-29,1067.6
2021-03-30,1059.4
2021-03-31,1082.2
2021-04-01,1101.0
2021-04-02,1030.8
2021-04-03,1108.6
2021-04-04,1092.4
2021-04-05,1081.2
2021-04-06,1071.0
2021-04-07,1044.8
2021-04-08,1027.6
2021-04-09,1030.4
2021-04-10,1045.2
2021-04-11,1047.0
2021-04-12,1034.8
2021-04-13,1054.6
2021-04-14,1091.4
2021-04-15,1074.2
2021-04-16,1045.0
2021-04-17,1067.8
2021-04-18,1093.6
2021-04-19,1039.4
2021-04-20,1089.2
2021-04-21,1120.0
2021-04-22,1047.8
2021-04-23,1105.6
2021-04-24,1045.4
2021-04-25,1047.2
2021-04-26,1093.0
2021-04-27,1095.8
2021-04-28,1134.6
2021-04-29,1112.4
2021-04-30,1097.2
2021-05-01,1118.0
2021-05-02,1089.8
2021-05-03,1068.6
2021-05-04,1087.4
2021-05-05,1057.2
2021-05-06,1139.0
2021-05-07,1100.8
2021-05-08,1084.6
2021-05-09,1136.4
2021-05-10,1068.2
2021-05-11,1065.0
2021-05-12,1079.8
2021-05-13,1071.6
2021-05-14,1084.4
2021-05-15,1089.2
2021-05-16,1125.0
2021-05-17,1069.8
2021-05-18,1111.6
2021-05-19,1149.4
2021-05-20,1097.2
2021-05-21,1074.0
2021-05-22,1120.8
2021-05-23,1064.6
2021-05-24,1124.4
2021-05-25,1091.2
2021-05-26,1125.0
2021-05-27,1123.8
2021-05-28,1107.6
2021-05-29,1083.4
2021-05-30,1146.2
2021-05-31,1078.0
2021-06-01,1162.8
