date,product,sales
2023-01-01,T-Shirt,3934
2023-01-01,Jeans,7286
2023-01-01,Shoes,8105
2023-01-01,Jacket,9006
2023-01-01,Hoodie,5776
2023-01-02,T-Shirt,3224
2023-01-02,Jeans,5350
2023-01-02,Shoes,5802
2023-01-02,Jacket,7245
2023-01-02,Hoodie,4498
2023-01-03,T-Shirt,3264
2023-01-03,Jeans,5517
2023-01-03,Shoes,5849
2023-01-03,Jacket,7500
2023-01-03,Hoodie,4458
2023-01-04,T-Shirt,3370
2023-01-04,Jeans,5806
2023-01-04,Shoes,6151
2023-01-04,Jacket,7468
2023-01-04,Hoodie,4724
2023-01-05,T-Shirt,3381
2023-01-05,Jeans,5515
2023-01-05,Shoes,6868
2023-01-05,Jacket,6907
2023-01-05,Hoodie,4942
2023-01-06,T-Shirt,3113
2023-01-06,Jeans,5891
2023-01-06,Shoes,5967
2023-01-06,Jacket,6863
2023-01-06,Hoodie,4529
2023-01-07,T-Shirt,4139
2023-01-07,Jeans,7220
2023-01-07,Shoes,7715
2023-01-07,Jacket,8991
2023-01-07,Hoodie,6322
2023-01-08,T-Shirt,4429
2023-01-08,Jeans,7190
2023-01-08,Shoes,8143
2023-01-08,Jacket,9711
2023-01-08,Hoodie,6161
2023-01-09,T-Shirt,3028
2023-01-09,Jeans,5847
2023-01-09,Shoes,6066
2023-01-09,Jacket,7932
2023-01-09,Hoodie,4533
2023-01-10,T-Shirt,3249
2023-01-10,Jeans,6066
2023-01-10,Shoes,5569
2023-01-10,Jacket,7441
2023-01-10,Hoodie,4636
2023-01-11,T-Shirt,3185
2023-01-11,Jeans,5979
2023-01-11,Shoes,6629
2023-01-11,Jacket,7108
2023-01-11,Hoodie,5029
2023-01-12,T-Shirt,3508
2023-01-12,Jeans,6193
2023-01-12,Shoes,6508
2023-01-12,Jacket,7473
2023-01-12,Hoodie,4759
2023-01-13,T-Shirt,3496
2023-01-13,Jeans,5529
2023-01-13,Shoes,6912
2023-01-13,Jacket,7489
2023-01-13,Hoodie,4764
2023-01-14,T-Shirt,4522
2023-01-14,Jeans,7244
2023-01-14,Shoes,8185
2023-01-14,Jacket,9216
2023-01-14,Hoodie,5976
2023-01-15,T-Shirt,4289
2023-01-15,Jeans,7346
2023-01-15,Shoes,8328
2023-01-15,Jacket,10313
2023-01-15,Hoodie,6089
2023-01-16,T-Shirt,3530
2023-01-16,Jeans,5934
2023-01-16,Shoes,6199
2023-01-16,Jacket,7621
2023-01-16,Hoodie,4678
2023-01-17,T-Shirt,3672
2023-01-17,Jeans,5983
2023-01-17,Shoes,6502
2023-01-17,Jacket,7359
2023-01-17,Hoodie,4763
2023-01-18,T-Shirt,3552
2023-01-18,Jeans,5737
2023-01-18,Shoes,6146
2023-01-18,Jacket,8057
2023-01-18,Hoodie,4940
2023-01-19,T-Shirt,3433
2023-01-19,Jeans,6269
2023-01-19,Shoes,6323
2023-01-19,Jacket,8028
2023-01-19,Hoodie,5236
2023-01-20,T-Shirt,3615
2023-01-20,Jeans,6425
2023-01-20,Shoes,6575
2023-01-20,Jacket,8275
2023-01-20,Hoodie,4982
2023-01-21,T-Shirt,4710
2023-01-21,Jeans,8083
2023-01-21,Shoes,8751
2023-01-21,Jacket,9924
2023-01-21,Hoodie,6056
2023-01-22,T-Shirt,4214
2023-01-22,Jeans,7275
2023-01-22,Shoes,9216
2023-01-22,Jacket,10532
2023-01-22,Hoodie,6111
2023-01-23,T-Shirt,3413
2023-01-23,Jeans,6299
2023-01-23,Shoes,7208
2023-01-23,Jacket,7603
2023-01-23,Hoodie,5031
2023-01-24,T-Shirt,3553
2023-01-24,Jeans,6187
2023-01-24,Shoes,7186
2023-01-24,Jacket,7505
2023-01-24,Hoodie,4889
2023-01-25,T-Shirt,3639
2023-01-25,Jeans,5680
2023-01-25,Shoes,6525
2023-01-25,Jacket,7877
2023-01-25,Hoodie,4856
2023-01-26,T-Shirt,3880
2023-01-26,Jeans,6079
2023-01-26,Shoes,7155
2023-01-26,Jacket,7849
2023-01-26,Hoodie,5162
2023-01-27,T-Shirt,3640
2023-01-27,Jeans,6120
2023-01-27,Shoes,6834
2023-01-27,Jacket,7997
2023-01-27,Hoodie,5020
2023-01-28,T-Shirt,4565
2023-01-28,Jeans,8072
2023-01-28,Shoes,8954
2023-01-28,Jacket,10349
2023-01-28,Hoodie,5950
2023-01-29,T-Shirt,4588
2023-01-29,Jeans,8203
2023-01-29,Shoes,9093
2023-01-29,Jacket,10673
2023-01-29,Hoodie,6499
2023-01-30,T-Shirt,3311
2023-01-30,Jeans,6687
2023-01-30,Shoes,6531
2023-01-30,Jacket,7370
2023-01-30,Hoodie,5352
2023-01-31,T-Shirt,3711
2023-01-31,Jeans,6825
2023-01-31,Shoes,6717
2023-01-31,Jacket,8246
2023-01-31,Hoodie,4947
2023-02-01,T-Shirt,3707
2023-02-01,Jeans,6058
2023-02-01,Shoes,6516
