date,product,sales
2023-01-01,Pizza,10971
2023-01-01,Burger,8647
2023-01-01,Pasta,7891
2023-01-01,Sandwich,6760
2023-01-01,Fries,6142
2023-01-02,Pizza,6681
2023-01-02,Burger,5747
2023-01-02,Pasta,4920
2023-01-02,Sandwich,4544
2023-01-02,Fries,3978
2023-01-03,Pizza,8425
2023-01-03,Burger,6289
2023-01-03,Pasta,5142
2023-01-03,Sandwich,4728
2023-01-03,Fries,3803
2023-01-04,Pizza,8208
2023-01-04,Burger,6398
2023-01-04,Pasta,4835
2023-01-04,Sandwich,4480
2023-01-04,Fries,4310
2023-01-05,Pizza,8517
2023-01-05,Burger,5914
2023-01-05,Pasta,4855
2023-01-05,Sandwich,4479
2023-01-05,Fries,3944
2023-01-06,Pizza,8308
2023-01-06,Burger,6325
2023-01-06,Pasta,4961
2023-01-06,Sandwich,4372
2023-01-06,Fries,3715
2023-01-07,Pizza,11755
2023-01-07,Burger,8378
2023-01-07,Pasta,7316
2023-01-07,Sandwich,6539
2023-01-07,Fries,5325
2023-01-08,Pizza,11789
2023-01-08,Burger,8967
2023-01-08,Pasta,7335
2023-01-08,Sandwich,6018
2023-01-08,Fries,5311
2023-01-09,Pizza,8694
2023-01-09,Burger,6405
2023-01-09,Pasta,4872
2023-01-09,Sandwich,4811
2023-01-09,Fries,4412
2023-01-10,Pizza,8540
2023-01-10,Burger,5980
2023-01-10,Pasta,5360
2023-01-10,Sandwich,4773
2023-01-10,Fries,4269
2023-01-11,Pizza,8703
2023-01-11,Burger,6683
2023-01-11,Pasta,5123
2023-01-11,Sandwich,4589
2023-01-11,Fries,4018
2023-01-12,Pizza,7845
2023-01-12,Burger,6744
2023-01-12,Pasta,5385
2023-01-12,Sandwich,4514
2023-01-12,Fries,4401
2023-01-13,Pizza,8442
2023-01-13,Burger,6236
2023-01-13,Pasta,4855
2023-01-13,Sandwich,4783
2023-01-13,Fries,4291
2023-01-14,Pizza,12095
2023-01-14,Burger,8764
2023-01-14,Pasta,6902
2023-01-14,Sandwich,7158
2023-01-14,Fries,6342
2023-01-15,Pizza,12119
2023-01-15,Burger,8675
2023-01-15,Pasta,7420
2023-01-15,Sandwich,6209
2023-01-15,Fries,5714
2023-01-16,Pizza,7796
2023-01-16,Burger,5812
2023-01-16,Pasta,5414
2023-01-16,Sandwich,4858
2023-01-16,Fries,4432
2023-01-17,Pizza,9064
2023-01-17,Burger,6347
2023-01-17,Pasta,4972
2023-01-17,Sandwich,4594
2023-01-17,Fries,4434
2023-01-18,Pizza,8823
2023-01-18,Burger,6819
2023-01-18,Pasta,4964
2023-01-18,Sandwich,4720
2023-01-18,Fries,4509
2023-01-19,Pizza,8737
2023-01-19,Burger,6612
2023-01-19,Pasta,4900
2023-01-19,Sandwich,5462
2023-01-19,Fries,4360
2023-01-20,Pizza,8039
2023-01-20,Burger,6730
2023-01-20,Pasta,5390
2023-01-20,Sandwich,4498
2023-01-20,Fries,4367
2023-01-21,Pizza,11975
2023-01-21,Burger,8898
2023-01-21,Pasta,7657
2023-01-21,Sandwich,6486
2023-01-21,Fries,6079
2023-01-22,Pizza,12861
2023-01-22,Burger,10242
2023-01-22,Pasta,7217
