date,product,sales,users
2023-01-01,Game Pass,14863,266
2023-01-01,Premium Subscription,21771,500
2023-01-01,In-game Purchase,9539,174
2023-01-02,Game Pass,11804,258
2023-01-02,Premium Subscription,16474,290
2023-01-02,In-game Purchase,7658,154
2023-01-03,Game Pass,11588,262
2023-01-03,Premium Subscription,15422,322
2023-01-03,In-game Purchase,8386,205
2023-01-04,Game Pass,11707,230
2023-01-04,Premium Subscription,14947,341
2023-01-04,In-game Purchase,8680,210
2023-01-05,Game Pass,13310,256
2023-01-05,Premium Subscription,15360,288
2023-01-05,In-game Purchase,8381,160
2023-01-06,Game Pass,12729,224
2023-01-06,Premium Subscription,15092,281
2023-01-06,In-game Purchase,8175,199
2023-01-07,Game Pass,14582,253
2023-01-07,Premium Subscription,20582,475
2023-01-07,In-game Purchase,10787,191
2023-01-08,Game Pass,14856,305
2023-01-08,Premium Subscription,19967,358
2023-01-08,In-game Purchase,11053,270
2023-01-09,Game Pass,12342,292
2023-01-09,Premium Subscription,16214,295
2023-01-09,In-game Purchase,8720,149
2023-01-10,Game Pass,12318,213
2023-01-10,Premium Subscription,14914,285
2023-01-10,In-game Purchase,8361,208
2023-01-11,Game Pass,12336,218
2023-01-11,Premium Subscription,15507,303
2023-01-11,In-game Purchase,8153,148
2023-01-12,Game Pass,12449,225
2023-01-12,Premium Subscription,15309,381
2023-01-12,In-game Purchase,8290,206
2023-01-13,Game Pass,11954,248
2023-01-13,Premium Subscription,14521,272
2023-01-13,In-game Purchase,8897,149
2023-01-14,Game Pass,16801,386
2023-01-14,Premium Subscription,19349,331
2023-01-14,In-game Purchase,10930,268
2023-01-15,Game Pass,15897,293
2023-01-15,Premium Subscription,19751,365
2023-01-15,In-game Purchase,12151,277
2023-01-16,Game Pass,13535,240
2023-01-16,Premium Subscription,15226,258
2023-01-16,In-game Purchase,8402,208
2023-01-17,Game Pass,12828,316
2023-01-17,Premium Subscription,15828,298
2023-01-17,In-game Purchase,8202,146
2023-01-18,Game Pass,11777,198
2023-01-18,Premium Subscription,16583,319
2023-01-18,In-game Purchase,8566,156
2023-01-19,Game Pass,13581,261
2023-01-19,Premium Subscription,16003,275
2023-01-19,In-game Purchase,8521,185
2023-01-20,Game Pass,12929,307
2023-01-20,Premium Subscription,14147,262
2023-01-20,In-game Purchase,8590,164
2023-01-21,Game Pass,18221,455
2023-01-21,Premium Subscription,19637,378
2023-01-21,In-game Purchase,12956,242
2023-01-22,Game Pass,17772,303
2023-01-22,Premium Subscription,21757,434
2023-01-22,In-game Purchase,10960,232
2023-01-23,Game Pass,13431,243
2023-01-23,Premium Subscription,16266,275
2023-01-23,In-game Purchase,8293,166
2023-01-24,Game Pass,13458,248
2023-01-24,Premium Subscription,17036,293
2023-01-24,In-game Purchase,8392,162
2023-01-25,Game Pass,13487,249
2023-01-25,Premium Subscription,15584,265
2023-01-25,In-game Purchase,8746,178
2023-01-26,Game Pass,13787,283
2023-01-26,Premium Subscription,15427,320
2023-01-26,In-game Purchase,9166,185
2023-01-27,Game Pass,12183,204
2023-01-27,Premium Subscription,15710,264
2023-01-27,In-game Purchase,8257,174
2023-01-28,Game Pass,16412,321
2023-01-28,Premium Subscription,21132,425
2023-01-28,In-game Purchase,11420,228
2023-01-29,Game Pass,18245,398
2023-01-29,Premium Subscription,21822,378
2023-01-29,In-game Purchase,11403,219
2023-01-30,Game Pass,12730,254
2023-01-30,Premium Subscription,16731,394
2023-01-30,In-game Purchase,8593,158
2023-01-31,Game Pass,12974,270
2023-01-31,Premium Subscription,16186,378
2023-01-31,In-game Purchase,9478,208
2023-02-01,Game Pass,12101,263
2023-02-01,Premium Subscription,17634,391
2023-02-01,In-game Purchase,8342,151
2023-02-02,Game Pass,13564,309
2023-02-02,Premium Subscription,16029,270
2023-02-02,In-game Purchase,9562,162
2023-02-03,Game Pass,12929,289
2023-02-03,Premium Subscription,17753,300
2023-02-03,In-game Purchase,8831,219
2023-02-04,Game Pass,18471,378
2023-02-04,Premium Subscription,21242,470
2023-02-04,In-game Purchase,11522,285
2023-02-05,Game Pass,15396,293
2023-02-05,Premium Subscription,23968,535
2023-02-05,In-game Purchase,12239,250
2023-02-06,Game Pass,14340,271
2023-02-06,Premium Subscription,16661,286
