date,product,sales
2023-01-01,Laptop,25769
2023-01-01,Mobile,18235
2023-01-01,Tablet,9094
2023-01-01,Headphones,3691
2023-01-01,Camera,21907
2023-01-02,Laptop,20851
2023-01-02,Mobile,14683
2023-01-02,Tablet,8452
2023-01-02,Headphones,3081
2023-01-02,Camera,18610
2023-01-03,Laptop,18586
2023-01-03,Mobile,15618
2023-01-03,Tablet,7528
2023-01-03,Headphones,3051
2023-01-03,Camera,17782
2023-01-04,Laptop,19565
2023-01-04,Mobile,16062
2023-01-04,Tablet,8068
2023-01-04,Headphones,3198
2023-01-04,Camera,19791
2023-01-05,Laptop,20818
2023-01-05,Mobile,16270
2023-01-05,Tablet,8761
2023-01-05,Headphones,3418
2023-01-05,Camera,19339
2023-01-06,Laptop,21390
2023-01-06,Mobile,16475
2023-01-06,Tablet,9188
2023-01-06,Headphones,3007
2023-01-06,Camera,19652
2023-01-07,Laptop,24658
2023-01-07,Mobile,18428
2023-01-07,Tablet,9807
2023-01-07,Headphones,3535
2023-01-07,Camera,23029
2023-01-08,Laptop,23294
2023-01-08,Mobile,20379
2023-01-08,Tablet,9660
2023-01-08,Headphones,3352
2023-01-08,Camera,23247
2023-01-09,Laptop,22035
2023-01-09,Mobile,16568
2023-01-09,Tablet,8633
2023-01-09,Headphones,3186
2023-01-09,Camera,18275
2023-01-10,Laptop,22824
2023-01-10,Mobile,15708
2023-01-10,Tablet,8858
2023-01-10,Headphones,3022
2023-01-10,Camera,18436
2023-01-11,Laptop,20933
2023-01-11,Mobile,16533
2023-01-11,Tablet,8281
2023-01-11,Headphones,3333
2023-01-11,Camera,19472
2023-01-12,Laptop,20771
2023-01-12,Mobile,14713
2023-01-12,Tablet,8331
2023-01-12,Headphones,3045
2023-01-12,Camera,20163
2023-01-13,Laptop,22097
2023-01-13,Mobile,16317
2023-01-13,Tablet,9348
2023-01-13,Headphones,3083
2023-01-13,Camera,20992
2023-01-14,Laptop,24507
2023-01-14,Mobile,19520
2023-01-14,Tablet,10911
2023-01-14,Headphones,3953
2023-01-14,Camera,23774
2023-01-15,Laptop,23657
2023-01-15,Mobile,19816
2023-01-15,Tablet,9809
2023-01-15,Headphones,4022
2023-01-15,Camera,21604
2023-01-16,Laptop,22147
2023-01-16,Mobile,16480
2023-01-16,Tablet,8440
2023-01-16,Headphones,3011
2023-01-16,Camera,19807
2023-01-17,Laptop,22760
2023-01-17,Mobile,15218
2023-01-17,Tablet,8916
2023-01-17,Headphones,3206
2023-01-17,Camera,20484
2023-01-18,Laptop,22912
2023-01-18,Mobile,16026
2023-01-18,Tablet,8993
2023-01-18,Headphones,3330
2023-01-18,Camera,19294
2023-01-19,Laptop,22871
2023-01-19,Mobile,14724
2023-01-19,Tablet,8425
2023-01-19,Headphones,3292
2023-01-19,Camera,19424
2023-01-20,Laptop,21877
2023-01-20,Mobile,17224
2023-01-20,Tablet,8221
2023-01-20,Headphones,3250
2023-01-20,Camera,20420
2023-01-21,Laptop,26731
2023-01-21,Mobile,18412
2023-01-21,Tablet,11290
2023-01-21,Headphones,3783
2023-01-21,Camera,24385
2023-01-22,Laptop,31264
2023-01-22,Mobile,18839
2023-01-22,Tablet,10732
2023-01-22,Headphones,4303
2023-01-22,Camera,26630
2023-01-23,Laptop,21325
2023-01-23,Mobile,16578
2023-01-23,Tablet,8765
2023-01-23,Headphones,3396
2023-01-23,Camera,20093
2023-01-24,Laptop,22771
2023-01-24,Mobile,16632
2023-01-24,Tablet,8977
2023-01-24,Headphones,3517
2023-01-24,Camera,20378
2023-01-25,Laptop,24505
2023-01-25,Mobile,17530
2023-01-25,Tablet,8965
2023-01-25,Headphones,3593
2023-01-25,Camera,20477
2023-01-26,Laptop,22922
