date,product,sales
2023-01-01,Paracetamol,3965
2023-01-01,Cough Syrup,3269
2023-01-01,Vitamins,2803
2023-01-01,Antibiotics,3958
2023-01-01,Pain Relief Gel,2797
2023-01-02,Paracetamol,4683
2023-01-02,Cough Syrup,4035
2023-01-02,Vitamins,3110
2023-01-02,Antibiotics,5062
2023-01-02,Pain Relief Gel,3432
2023-01-03,Paracetamol,4617
2023-01-03,Cough Syrup,3986
2023-01-03,Vitamins,3084
2023-01-03,Antibiotics,4847
2023-01-03,Pain Relief Gel,3337
2023-01-04,Paracetamol,4532
2023-01-04,Cough Syrup,4080
2023-01-04,Vitamins,3050
2023-01-04,Antibiotics,5235
2023-01-04,Pain Relief Gel,3239
2023-01-05,Paracetamol,4467
2023-01-05,Cough Syrup,3727
2023-01-05,Vitamins,3214
2023-01-05,Antibiotics,4970
2023-01-05,Pain Relief Gel,3328
2023-01-06,Paracetamol,4536
2023-01-06,Cough Syrup,4108
2023-01-06,Vitamins,3359
2023-01-06,Antibiotics,5024
2023-01-06,Pain Relief Gel,3442
2023-01-07,Paracetamol,3821
2023-01-07,Cough Syrup,3578
2023-01-07,Vitamins,2639
2023-01-07,Antibiotics,4406
2023-01-07,Pain Relief Gel,2957
2023-01-08,Paracetamol,3996
2023-01-08,Cough Syrup,3517
2023-01-08,Vitamins,2656
2023-01-08,Antibiotics,4751
2023-01-08,Pain Relief Gel,2863
2023-01-09,Paracetamol,4656
2023-01-09,Cough Syrup,4233
2023-01-09,Vitamins,3429
2023-01-09,Antibiotics,4892
2023-01-09,Pain Relief Gel,3599
2023-01-10,Paracetamol,4400
2023-01-10,Cough Syrup,4246
2023-01-10,Vitamins,3347
2023-01-10,Antibiotics,5286
2023-01-10,Pain Relief Gel,3575
2023-01-11,Paracetamol,4989
2023-01-11,Cough Syrup,4208
2023-01-11,Vitamins,3062
2023-01-11,Antibiotics,5247
2023-01-11,Pain Relief Gel,3415
2023-01-12,Paracetamol,4566
2023-01-12,Cough Syrup,3951
2023-01-12,Vitamins,3276
2023-01-12,Antibiotics,4926
2023-01-12,Pain Relief Gel,3605
2023-01-13,Paracetamol,5033
