date,product,region,quantity,sales,profit
2023-01-01,Tablet,UK,8,34601,6023
2023-01-01,Smartwatch,USA,10,13286,3178
2023-01-01,Smartwatch,USA,5,23617,4043
2023-01-02,Tablet,Germany,6,25851,5555
2023-01-02,Camera,UK,7,42547,9370
2023-01-02,Smartwatch,UK,8,49598,6797
2023-01-03,Smartwatch,USA,3,11743,3016
2023-01-03,Tablet,Germany,2,20174,5421
2023-01-03,Camera,UK,3,5337,1286
2023-01-04,Laptop,UK,8,18204,2534
2023-01-04,Smartwatch,Canada,2,15243,3173
2023-01-04,Tablet,Germany,8,39851,5096
2023-01-05,Camera,India,3,22836,2321
2023-01-05,Headphones,Canada,6,8036,2283
2023-01-05,Smartwatch,India,6,14287,2544
2023-01-05,Camera,UK,9,46964,13808
2023-01-05,Laptop,USA,5,4933,631
2023-01-06,Tablet,USA,10,39464,9248
2023-01-06,Smartwatch,India,3,19884,4887
2023-01-06,Camera,India,2,48434,12317
2023-01-07,Mobile,Germany,6,45641,5683
2023-01-07,Mobile,USA,3,49675,7216
2023-01-07,Laptop,Germany,2,12685,1883
2023-01-07,Camera,UK,6,8767,2014
2023-01-07,Smartwatch,Canada,4,10840,1124
2023-01-08,Laptop,India,6,9842,1386
2023-01-08,Tablet,Canada,7,42226,5922
2023-01-08,Mobile,USA,8,34681,5073
2023-01-08,Laptop,UK,5,33691,5464
2023-01-08,Laptop,India,6,8988,2315
2023-01-08,Camera,Germany,1,48110,13586
2023-01-09,Tablet,India,5,28877,7096
2023-01-09,Tablet,India,4,16898,4537
2023-01-09,Tablet,Germany,9,13543,2114
2023-01-10,Headphones,Canada,4,29436,3190
2023-01-10,Smartwatch,USA,8,18431,3053
2023-01-10,Mobile,USA,5,39334,11073
2023-01-10,Mobile,India,4,43892,5436
2023-01-11,Smartwatch,India,2,22977,6672
2023-01-11,Headphones,USA,1,19105,2587
2023-01-11,Laptop,Canada,8,31418,5646
2023-01-12,Headphones,India,2,16277,4770
2023-01-12,Laptop,India,7,44756,12937
2023-01-12,Tablet,UK,8,28233,8401
2023-01-13,Smartwatch,India,1,1059,117
2023-01-13,Camera,UK,6,44268,9418
2023-01-13,Tablet,UK,1,19410,3893
2023-01-13,Mobile,India,7,27638,6025
2023-01-13,Mobile,India,3,20230,2332
2023-01-13,Tablet,UK,8,10428,3031
2023-01-14,Smartwatch,USA,6,28296,6395
2023-01-14,Tablet,UK,8,4607,1065
2023-01-14,Laptop,USA,3,1272,289
2023-01-14,Camera,India,4,49844,6708
2023-01-15,Camera,UK,3,48747,5285
2023-01-15,Headphones,UK,2,14652,2799
2023-01-15,Headphones,India,2,15571,2083
