date,product,sales
2023-01-01,Camera,15117
2023-01-01,Headphones,49514
2023-01-01,Laptop,37723
2023-01-01,Headphones,38100
2023-01-02,Headphones,20072
2023-01-02,Tablet,26459
2023-01-03,Headphones,29431
2023-01-03,Mobile,14107
2023-01-04,Mobile,3313
2023-01-04,Mobile,39743
2023-01-05,Laptop,7789
2023-01-05,Headphones,23070
2023-01-05,Mobile,32271
2023-01-05,Tablet,47617
2023-01-06,Camera,23042
2023-01-06,Laptop,45082
2023-01-06,Laptop,14551
2023-01-06,Headphones,4692
2023-01-07,Tablet,9480
2023-01-07,Laptop,9472
2023-01-07,Tablet,16594
2023-01-08,Tablet,20833
2023-01-08,Headphones,37172
2023-01-08,Mobile,8797
2023-01-08,Laptop,39086
2023-01-09,Tablet,1520
2023-01-09,Camera,10889
2023-01-09,Mobile,5939
2023-01-10,Camera,48487
2023-01-10,Tablet,4596
2023-01-11,Camera,37938
2023-01-11,Tablet,13947
2023-01-12,Mobile,6769
2023-01-12,Mobile,13771
2023-01-13,Camera,10643
2023-01-13,Laptop,39655
2023-01-13,Laptop,30977
2023-01-13,Laptop,18388
2023-01-14,Camera,28182
2023-01-14,Tablet,9073
2023-01-15,Mobile,29848
2023-01-15,Tablet,36677
2023-01-15,Laptop,15401
2023-01-16,Tablet,24106
2023-01-16,Mobile,38254
2023-01-16,Headphones,15232
2023-01-17,Laptop,21276
2023-01-17,Tablet,18270
2023-01-17,Camera,32830
2023-01-17,Mobile,43966
2023-01-18,Laptop,13451
2023-01-18,Headphones,36007
2023-01-18,Laptop,32459
2023-01-18,Tablet,2660
2023-01-19,Camera,49267
2023-01-19,Mobile,1895
2023-01-19,Laptop,46820
2023-01-19,Tablet,21245
2023-01-20,Headphones,44403
2023-01-20,Tablet,40825
2023-01-20,Headphones,49501
2023-01-21,Laptop,46274
2023-01-21,Mobile,45278
2023-01-21,Mobile,44181
2023-01-21,Mobile,10471
2023-01-22,Headphones,28013
2023-01-22,Tablet,18484
2023-01-23,Camera,38188
2023-01-23,Mobile,46550
2023-01-23,Tablet,24740
2023-01-24,Mobile,24022
2023-01-24,Mobile,11092
2023-01-24,Mobile,13865
2023-01-24,Camera,37459
2023-01-25,Laptop,39428
2023-01-25,Headphones,36238
2023-01-26,Headphones,21597
2023-01-26,Mobile,21232
2023-01-26,Headphones,17166
2023-01-26,Tablet,18046
2023-01-27,Mobile,7336
2023-01-27,Camera,33026
2023-01-27,Tablet,38415
2023-01-27,Mobile,41023
2023-01-28,Laptop,34096
2023-01-28,Tablet,15812
2023-01-28,Tablet,47185
2023-01-28,Laptop,2591
2023-01-29,Tablet,49866
2023-01-29,Laptop,31868
2023-01-29,Tablet,41683
2023-01-30,Camera,22526
2023-01-30,Laptop,15906
2023-01-30,Camera,37976
2023-01-30,Headphones,33963
2023-01-31,Camera,33890
2023-01-31,Tablet,47626
2023-01-31,Camera,41194
2023-02-01,Mobile,18559
2023-02-01,Laptop,6957
2023-02-01,Laptop,36535
2023-02-01,Headphones,6110
2023-02-02,Mobile,47784
2023-02-02,Camera,18491
2023-02-02,Mobile,40700
2023-02-03,Mobile,24402
2023-02-03,Tablet,18315
2023-02-03,Tablet,49883
2023-02-03,Headphones,4168
2023-02-04,Mobile,46822
2023-02-04,Camera,22543
2023-02-04,Mobile,30057
2023-02-04,Headphones,19159
2023-02-05,Tablet,39537
2023-02-05,Headphones,1746
2023-02-05,Mobile,25527
2023-02-06,Tablet,24453
2023-02-06,Tablet,31609
2023-02-06,Tablet,1875
2023-02-06,Mobile,19466
2023-02-07,Laptop,4905
2023-02-07,Headphones,25996
2023-02-08,Headphones,22745
2023-02-08,Mobile,48858
2023-02-08,Mobile,8696
2023-02-08,Tablet,31268
2023-02-09,Laptop,1346
2023-02-09,Mobile,29186
2023-02-09,Mobile,16212
2023-02-10,Mobile,42215
2023-02-10,Laptop,46686
2023-02-11,Mobile,26335
2023-02-11,Headphones,17583
2023-02-11,Mobile,45156
2023-02-12,Mobile,26834
2023-02-12,Laptop,35596
2023-02-12,Headphones,41099
2023-02-12,Mobile,12178
2023-02-13,Camera,49300
2023-02-13,Tablet,32854
2023-02-13,Laptop,11170
2023-02-14,Headphones,39362
2023-02-14,Tablet,25043
2023-02-15,Headphones,26907
2023-02-15,Mobile,49555
2023-02-16,Headphones,38314
2023-02-16,Mobile,45452
2023-02-16,Tablet,7492
2023-02-17,Headphones,8727
2023-02-17,Mobile,14338
2023-02-18,Headphones,4806
2023-02-18,Headphones,26762
2023-02-18,Tablet,18755
2023-02-18,Tablet,48897
2023-02-19,Headphones,44644
2023-02-19,Camera,44867
2023-02-19,Tablet,6560
2023-02-20,Camera,12966
2023-02-20,Tablet,37989
2023-02-21,Headphones,12912
2023-02-21,Tablet,49896
2023-02-21,Mobile,3511
2023-02-22,Mobile,40899
2023-02-22,Headphones,10136
2023-02-23,Mobile,20493
2023-02-23,Laptop,29865
2023-02-23,Laptop,19955
2023-02-23,Laptop,23096
2023-02-24,Tablet,13304
2023-02-24,Headphones,17074
2023-02-24,Tablet,11802
2023-02-24,Camera,24396
2023-02-25,Mobile,18619
2023-02-25,Headphones,9858
2023-02-26,Camera,19405
2023-02-26,Laptop,9334
2023-02-26,Tablet,3234
2023-02-26,Mobile,5699
2023-02-27,Laptop,48717
2023-02-27,Tablet,28787
2023-02-27,Mobile,19090
2023-02-27,Tablet,49756
2023-02-28,Camera,21174
2023-02-28,Headphones,20452
2023-03-01,Laptop,6063
2023-03-01,Camera,1951
2023-03-01,Camera,2365
2023-03-01,Laptop,27288
2023-03-02,Camera,37769
2023-03-02,Laptop,35300
2023-03-03,Camera,6328
2023-03-03,Tablet,33919
2023-03-03,Mobile,36140
2023-03-03,Camera,7202
2023-03-04,Headphones,6997
2023-03-04,Headphones,36260
2023-03-05,Headphones,14280
2023-03-05,Mobile,40108
2023-03-05,Camera,19774
2023-03-05,Laptop,40161
2023-03-06,Mobile,8366
2023-03-06,Mobile,24240
2023-03-07,Laptop,49694
2023-03-07,Laptop,21628
2023-03-08,Laptop,10600
2023-03-08,Headphones,10768
2023-03-08,Mobile,5129
2023-03-09,Headphones,33731
2023-03-09,Camera,5266
2023-03-09,Headphones,29489
2023-03-09,Mobile,25560
2023-03-10,Headphones,30782
2023-03-10,Mobile,43444
2023-03-10,Tablet,23122
2023-03-11,Headphones,39131
2023-03-11,Headphones,8298
2023-03-11,Mobile,38798
2023-03-12,Tablet,18724
2023-03-12,Mobile,1477
2023-03-13,Camera,38570
2023-03-13,Camera,40797
2023-03-13,Laptop,47493
2023-03-14,Laptop,49205
2023-03-14,Headphones,18047
2023-03-14,Headphones,43990
2023-03-14,Laptop,4137
2023-03-15,Headphones,28044
2023-03-15,Tablet,21435
2023-03-15,Tablet,33604
2023-03-16,Camera,37648
