date,product,region,sales
2023-01-01,Laptop,Canada,41972
2023-01-01,Smartwatch,UK,42144
2023-01-01,Tablet,USA,22722
2023-01-01,Mobile,USA,1286
2023-01-01,Smartwatch,Canada,17347
2023-01-02,Headphones,UK,24257
2023-01-02,Tablet,UK,30858
2023-01-02,Mobile,Germany,4168
2023-01-03,Camera,Germany,44475
2023-01-03,Smartwatch,India,37757
2023-01-04,Tablet,UK,14805
2023-01-04,Smartwatch,Germany,35766
2023-01-04,Mobile,India,48947
2023-01-04,Tablet,UK,29670
2023-01-04,Laptop,USA,27241
2023-01-05,Headphones,USA,31537
2023-01-05,Tablet,Germany,17977
2023-01-06,Headphones,Canada,10985
2023-01-06,Tablet,Canada,46626
2023-01-06,Mobile,India,24070
2023-01-06,Laptop,UK,14492
2023-01-07,Headphones,India,1051
2023-01-07,Tablet,Canada,2093
2023-01-07,Mobile,India,43754
2023-01-07,Mobile,India,37569
2023-01-08,Smartwatch,India,20174
2023-01-08,Camera,USA,33854
2023-01-08,Camera,UK,44257
2023-01-08,Headphones,USA,17543
2023-01-09,Camera,UK,7724
2023-01-09,Tablet,Canada,5509
2023-01-10,Laptop,UK,14949
2023-01-10,Headphones,India,27502
2023-01-10,Laptop,UK,49590
2023-01-10,Headphones,USA,27908
2023-01-10,Headphones,USA,31053
2023-01-11,Smartwatch,UK,21369
2023-01-11,Tablet,UK,26478
2023-01-11,Laptop,Germany,15870
2023-01-11,Smartwatch,Germany,40134
2023-01-11,Laptop,Germany,12150
2023-01-12,Headphones,USA,21282
2023-01-12,Tablet,India,14523
2023-01-12,Headphones,Germany,29740
2023-01-12,Laptop,Canada,35658
2023-01-12,Tablet,Canada,3545
2023-01-13,Tablet,India,19263
2023-01-13,Smartwatch,UK,16039
2023-01-13,Tablet,India,49475
2023-01-14,Laptop,Canada,2473
2023-01-14,Mobile,Canada,8687
2023-01-14,Laptop,Germany,34442
2023-01-14,Headphones,India,7867
2023-01-15,Smartwatch,USA,36096
2023-01-15,Smartwatch,UK,31156
2023-01-15,Smartwatch,UK,37492
2023-01-15,Mobile,UK,48253
2023-01-16,Camera,Canada,37653
2023-01-16,Headphones,Germany,10249
2023-01-16,Tablet,Canada,19069
2023-01-16,Mobile,India,43614
2023-01-17,Camera,India,11717
2023-01-17,Camera,USA,8563
2023-01-17,Camera,Canada,3234
2023-01-18,Camera,India,22237
2023-01-18,Camera,Germany,46521
2023-01-19,Tablet,USA,29140
2023-01-19,Laptop,USA,22397
2023-01-19,Mobile,Germany,34459
2023-01-19,Smartwatch,UK,45252
2023-01-20,Mobile,India,2142
2023-01-20,Headphones,USA,22224
2023-01-20,Smartwatch,Germany,15530
2023-01-20,Laptop,UK,14636
2023-01-20,Mobile,USA,44842
2023-01-21,Laptop,UK,46945
2023-01-21,Laptop,USA,42088
2023-01-21,Tablet,India,37689
2023-01-21,Headphones,India,47547
2023-01-21,Mobile,USA,1112
2023-01-22,Smartwatch,Germany,36168
2023-01-22,Smartwatch,USA,44509
2023-01-23,Camera,India,24673
2023-01-23,Laptop,USA,15360
2023-01-23,Laptop,UK,26755
2023-01-24,Tablet,Germany,33536
2023-01-24,Laptop,Canada,15106
2023-01-24,Smartwatch,UK,17859
2023-01-24,Camera,Canada,38859
2023-01-24,Laptop,UK,31688
2023-01-25,Tablet,Canada,25768
2023-01-25,Laptop,Germany,27214
2023-01-25,Headphones,UK,42184
2023-01-26,Headphones,Germany,6244
2023-01-26,Tablet,India,18664
2023-01-26,Laptop,India,42634
2023-01-27,Camera,USA,23589
2023-01-27,Smartwatch,Canada,16537
2023-01-28,Laptop,UK,47859
2023-01-28,Smartwatch,UK,34599
2023-01-28,Camera,Canada,38818
2023-01-29,Laptop,Canada,44712
2023-01-29,Tablet,UK,8868
2023-01-30,Camera,India,26767
2023-01-30,Laptop,Canada,24867
2023-01-31,Smartwatch,India,41791
2023-01-31,Smartwatch,India,4238
2023-01-31,Laptop,Canada,32136
2023-02-01,Smartwatch,USA,8001
2023-02-01,Tablet,USA,37248
2023-02-01,Laptop,India,9085
2023-02-01,Tablet,Canada,20668
2023-02-02,Headphones,Germany,45163
2023-02-02,Smartwatch,UK,32389
2023-02-03,Laptop,UK,22045
2023-02-03,Mobile,Canada,28637
2023-02-03,Mobile,USA,36782
2023-02-03,Camera,India,19618
2023-02-03,Camera,Germany,27942
2023-02-04,Tablet,India,44411
2023-02-04,Smartwatch,Germany,47258
2023-02-04,Mobile,Germany,43884
2023-02-04,Mobile,USA,31588
2023-02-04,Camera,India,26393
2023-02-05,Headphones,Canada,42615
2023-02-05,Laptop,India,15974
2023-02-05,Smartwatch,UK,47707
2023-02-05,Camera,UK,33610
2023-02-06,Mobile,UK,33927
2023-02-06,Smartwatch,Germany,22535
2023-02-06,Laptop,USA,49284
2023-02-07,Laptop,Canada,8292
2023-02-07,Smartwatch,India,40935
2023-02-07,Camera,USA,24005
2023-02-07,Tablet,USA,21643
2023-02-07,Laptop,India,14326
2023-02-08,Laptop,Germany,22121
2023-02-08,Camera,UK,3594
2023-02-08,Tablet,Canada,49513
2023-02-08,Tablet,USA,22988
2023-02-08,Camera,Germany,46724
2023-02-09,Mobile,USA,46700
2023-02-09,Mobile,India,11042
2023-02-09,Headphones,India,31253
2023-02-09,Laptop,UK,23256
2023-02-09,Camera,UK,28150
2023-02-10,Headphones,India,48675
2023-02-10,Tablet,Germany,48621
2023-02-10,Tablet,USA,2278
2023-02-10,Camera,Germany,15475
2023-02-10,Laptop,Canada,14846
2023-02-11,Smartwatch,UK,48220
2023-02-11,Tablet,UK,3906
2023-02-11,Laptop,Germany,31617
2023-02-11,Camera,India,3814
2023-02-12,Headphones,Canada,45100
2023-02-12,Smartwatch,USA,6982
2023-02-12,Camera,UK,26332
2023-02-12,Camera,USA,14734
2023-02-12,Laptop,Germany,45769
2023-02-13,Headphones,Germany,42839
2023-02-13,Camera,UK,15112
2023-02-13,Tablet,USA,42515
2023-02-13,Mobile,USA,30805
2023-02-14,Tablet,USA,48527
2023-02-14,Camera,Germany,11283
2023-02-14,Headphones,India,5860
2023-02-14,Laptop,Germany,49645
2023-02-15,Mobile,India,18534
2023-02-15,Laptop,India,26542
2023-02-15,Camera,USA,16608
2023-02-15,Mobile,India,10957
2023-02-15,Smartwatch,India,44362
2023-02-16,Camera,UK,26106
2023-02-16,Smartwatch,Canada,32696
2023-02-16,Tablet,USA,48926
2023-02-17,Laptop,Canada,16639
2023-02-17,Mobile,UK,31885
2023-02-17,Camera,USA,2905
2023-02-18,Smartwatch,India,44231
2023-02-18,Tablet,USA,45691
2023-02-18,Laptop,Canada,30879
2023-02-19,Headphones,USA,46849
2023-02-19,Mobile,Canada,47788
2023-02-20,Smartwatch,USA,19035
2023-02-20,Tablet,UK,32852
2023-02-20,Mobile,USA,17469
2023-02-21,Smartwatch,Canada,9704
2023-02-21,Smartwatch,UK,18218
2023-02-21,Tablet,USA,17046
2023-02-22,Tablet,UK,17259
2023-02-22,Camera,Canada,46158
2023-02-22,Camera,USA,33417
2023-02-23,Headphones,UK,10697
2023-02-23,Tablet,India,6678
2023-02-23,Tablet,Canada,21566
2023-02-23,Camera,Canada,48231
2023-02-24,Laptop,Germany,15125
2023-02-24,Camera,India,48121
2023-02-24,Smartwatch,India,43539
2023-02-24,Camera,Canada,34122
2023-02-24,Camera,Canada,41536
2023-02-25,Laptop,UK,39434
2023-02-25,Mobile,USA,32752
2023-02-25,Headphones,USA,6801
2023-02-25,Smartwatch,Canada,27487
2023-02-26,Camera,UK,9549
2023-02-26,Mobile,USA,8414
2023-02-26,Headphones,UK,17998
2023-02-27,Camera,USA,32062
